PAÍS;Fecha_Reporte;Dosis_administradas;Personas_en_vacunacion;Personas_Totalmente_vacunadas;por_poblacion_vacunada
España ;25/02/2021;3.605.635;2.361.852;1.243.783;2,63%
Alemania ;25/02/2021;5.715.991;3.759.906;1.956.085;2,35%
Reino Unido ;24/02/2021;19.392.553;18.691.835;700.718;1,05%
Francia ;24/02/2021;4.111.784;2.712.800;1.398.984;2,08%
Italia ;25/02/2021;3.950.725;2.587.866;1.362.859;2,29%
Portugal ;25/02/2021;752.317;497.040;255.277;2,48%
Estados Unidos ;26/02/2021;70.454.064;47.184.199;22.613.359;6,88%
Japón ;25/02/2021;21.896;21.896;0;0%
China ;9/02/2021;40.520.000;0;0;0%
Andorra ;24/02/2021;2.390;2.390;0;0%
Emiratos Árabes Unidos ;25/02/2021;5.846.036;3.480.415;2.187.849;22,39%
Albania ;25/02/2021;10.135;6.073;655;0,02%
Argentina ;25/02/2021;829.832;558.831;271.001;0,60%
Austria ;25/02/2021;582.135;339.470;211.897;2,38%
Australia ;25/02/2021;11.908;11.908;0;0%
Azerbaiyán ;6/02/2021;65.000;65.000;0;0%
Barbados ;24/02/2021;25.578;25.578;0;0%
Bangladés ;25/02/2021;2.850.940;2.850.940;0;0%
Bélgica ;24/02/2021;731.352;442.640;288.712;2,50%
Bulgaria ;25/02/2021;188.512;153.793;34.719;0,50%
Baréin ;25/02/2021;290.103;290.103;0;0%
Bolivia ;11/02/2021;10.167;0;0;0%
Brasil ;25/02/2021;7.799.000;6.202.055;1.596.945;0,76%
Bielorrusia ;18/02/2021;20.944;20.944;0;0%
Canadá ;25/02/2021;1.707.398;972.407;307.218;0,81%
Suiza ;21/02/2021;673.744;500.784;172.960;2,01%
Chile ;25/02/2021;3.207.932;3.152.171;55.761;0,29%
Colombia ;25/02/2021;242.000;114.042;0;0%
Costa Rica ;22/02/2021;101.183;57.162;44.021;0,87%
Chipre ;23/02/2021;64.562;44.239;20.323;2,29%
República Checa ;25/02/2021;623.820;391.028;232.792;2,18%
Dinamarca ;25/02/2021;542.597;362.158;180.439;3,10%
República Dominicana ;24/02/2021;26.400;26.400;0;0%
Argelia ;19/02/2021;75.000;0;0;0%
Ecuador ;24/02/2021;24.492;20.784;3.708;0,02%
Estonia ;25/02/2021;96.980;68.629;28.351;2,13%
Egipto ;30/01/2021;1.315;0;0;0%
Finlandia ;25/02/2021;396.861;319.559;77.302;1,40%
Grecia ;25/02/2021;826.370;540.039;286.331;2,67%
Guyana ;22/02/2021;1.852;1.852;0;0%
Croacia ;25/02/2021;194.267;135.756;58.511;1,44%
Hungría ;25/02/2021;761.905;521.283;240.622;2,46%
Indonesia ;25/02/2021;2.315.665;1.461.920;853.745;0,32%
Irlanda ;22/02/2021;359.616;226.291;133.325;2,69%
Israel ;25/02/2021;7.924.356;4.649.708;3.274.648;36,18%
India ;25/02/2021;13.067.047;11.206.188;1.860.859;0,14%
Irán ;17/02/2021;10.000;10.000;0;0%
Islandia ;25/02/2021;31.451;19.075;12.376;3,40%
Camboya ;25/02/2021;13.101;13.101;0;0%
Kuwait ;15/02/2021;175.000;137.000;38.000;0,90%
Líbano ;25/02/2021;23.833;0;0;0%
Liechtenstein ;21/02/2021;1.812;0;0;0%
Sri Lanka ;24/02/2021;393.469;0;0;0%
Lituania ;24/02/2021;213.945;143.092;70.853;2,54%
Luxemburgo ;24/02/2021;34.760;25.285;9.475;1,51%
Letonia ;25/02/2021;57.592;40.680;16.912;0,89%
Marruecos ;25/02/2021;3.204.105;3.160.479;43.626;0,12%
Mónaco ;18/01/2021;2.400;0;0;0%
Birmania - Myanmar ;2/02/2021;103.142;103.142;0;0%
Malta ;24/02/2021;71.562;49.061;22.501;4,37%
Mauricio ;17/02/2021;3.843;3.843;0;0%
Maldivas ;25/02/2021;98.311;0;0;0%
México ;25/02/2021;2.088.813;1.562.401;526.412;0,41%
Países Bajos ;24/02/2021;891.621;0;0;0%
Noruega ;24/02/2021;433.295;308.145;125.150;2,33%
Nepal ;20/02/2021;402.264;0;0;0%
Nueva Zelanda ;20/02/2021;100;100;0;0%
Omán ;23/02/2021;67.660;48.641;19.019;0,38%
Panamá ;25/02/2021;89.419;0;0;0%
Perú ;24/02/2021;225.296;225.296;0;0%
Pakistán ;21/02/2021;72.882;72.882;0;0%
Polonia ;24/02/2021;2.990.683;1.959.165;1.031.518;2,72%
Catar ;18/02/2021;140.000;100.000;0;0%
Rumanía ;25/02/2021;1.486.908;872.361;614.547;3,18%
Serbia ;25/02/2021;1.375.872;878.143;497.729;7,19%
Rusia ;10/02/2021;3.900.000;2.200.000;1.700.000;1,16%
Arabia Saudita ;24/02/2021;600.798;0;0;0%
Seychelles ;23/02/2021;70.568;47.188;23.380;23,95%
Suecia ;25/02/2021;690.271;454.996;235.275;2,28%
Singapur ;18/02/2021;360.000;250.000;110.000;1,93%
Eslovenia ;24/02/2021;151.862;101.344;50.518;2,41%
Eslovaquia ;25/02/2021;419.575;297.496;122.079;2,24%
Senegal ;24/02/2021;4.087;4.087;0;0%
El Salvador ;22/02/2021;6.000;0;0;0%
Turquía ;25/02/2021;7.979.726;6.582.239;1.397.487;1,68%
Trinidad y Tobago ;22/02/2021;440;440;0;0%
Ucrania ;25/02/2021;1.338;0;0;0%
Sudáfrica ;25/02/2021;52.647;52.647;52.647;0,09%
Zimbabue ;25/02/2021;11.007;11.007;0;0%
